,Food_items,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars,label
1,Avocados,160,15.0,2.0,0.55,12.0,7,485.0,8.5,6.7,0,0.7,1
2,Bananas,89,0.3,1.1,0.26,5.0,1,358.0,23.0,2.6,0,12.0,1
4,Berries,349,0.4,14.0,6.8,190.0,298,77.0,77.0,13.0,0,46.0,4
8,American cheese,331,24.0,20.0,0.84,497.0,966,363.0,8.3,0.0,0,0.0,2
9,Coffee,2,0.0,0.3,0.02,2.0,1,50.0,0.2,0.0,0,0.0,1
10,Corn,97,1.4,3.3,0.55,2.0,253,3.3,22.0,2.7,0,7.7,1
12,Grapes,93,2.1,5.6,2.63,363.0,9,272.0,17.0,11.0,0,6.3,1
13,Milk,97,6.9,3.8,0.12,169.0,52,178.0,5.2,0.0,0,0.0,1
14,Cashew Nuts,553,44.0,18.0,6.68,37.0,12,660.0,30.0,3.3,0,5.9,3
16,Orange,97,0.2,1.5,0.8,161.0,3,212.0,25.0,11.0,0,0.0,1
18,Pears,57,0.1,0.4,0.18,9.0,1,116.0,15.0,3.1,0,9.8,1
20,Protein Powder,411,17.0,46.0,8.57,500.0,329,1129.0,19.0,7.1,200,5.7,0
32,Pop Corn - Caramel,381,1.4,2.0,0.8,18.0,286,110.0,90.0,2.5,0,65.0,4
33,Pop Corn,429,9.5,13.0,2.28,11.0,490,241.0,73.0,14.0,0,0.5,4
34,Dosa,168,3.7,4.5,8.0,0.7,94,76.0,29.0,0.9,0,0.1,1
35,Idli,156,1.7,5.0,17.2,4.0,207,63.0,30.2,2.1,0,0.74,1
36,Poha,130,1.5,2.6,3.16,1.0,201,117.0,26.9,1.1,0,0.5,1
38,Tomato,16,0.2,1.2,0.47,5.0,42,212.0,3.2,0.9,0,2.63,1
39,Yogurt,60,4.0,3.1,0.08,183.0,70,234.0,7.0,0.0,1,7.0,1
40,Brownie,407,6.2,4.4,3.81,17.0,457,51.0,84.0,2.9,0,55.0,4
42,Uttapam,188,7.2,4.4,24.0,6.4,522,91.0,26.4,2.2,0,0.24,4
43,Bhaji Pav,151,2.4,9.0,37.4,3.4,438,180.0,29.3,1.0,0,1.35,4
45,Almonds,579,50.0,21.0,3.71,269.0,1,733.0,22.0,13.0,0,4.4,3
46,Mushrooms,22,0.3,3.1,0.5,3.0,5,318.0,3.3,1.0,7,2.0,1
47,Egg Yolk cooked,196,15.0,14.0,1.89,62.0,207,152.0,0.8,0.0,88,0.4,1
48,Sweet Potatoes cooked,76,0.1,1.4,0.72,27.0,27,230.0,18.0,2.5,0,5.7,1
49,Boiled Potatoes,87,0.1,1.9,0.31,5.0,240,379.0,20.0,2.0,0,0.9,1
51,Orange juice,45,0.2,0.7,0.2,11.0,1,200.0,10.0,0.2,0,8.4,1
52,Greek yogurt plain,73,1.9,10.0,0.04,115.0,34,141.0,3.9,0.0,0,3.6,1
53,Oat Bran Cooked,40,0.9,3.2,0.88,10.0,1,92.0,11.0,2.6,0,0.0,1
54,Green Tea,1,0.0,0.2,0.02,0.0,1,0.2,0.0,0.0,0,0.0,1
55,Chia seeds,486,31.0,17.0,7.72,631.0,16,407.0,42.0,34.0,0,0.0,3
58,Cereals-Corn Flakes,384,0.9,5.9,19.4,2.0,571,107.0,88.0,2.7,286,7.8,4
62,Tea,1,0.0,0.0,0.08,2.0,1,9.0,0.2,0.0,0,0.0,1
63,Apples,52,0.2,0.3,0.12,6.0,1,107.0,14.0,24.0,0,10.0,1
64,Strawberries,32,0.3,0.7,0.41,16.0,1,153.0,7.7,2.0,0,4.9,1
65,Quninoa,120,1.9,4.4,1.49,17.0,7,172.0,21.0,2.8,0,0.9,1
76,Nachos,350,22.0,4.3,0.75,63.0,313,362.0,35.0,3.2,0,2.2,4
80,Beef sticks,550,50.0,22.0,3.4,68.0,1531,257.0,5.4,0.0,0,0.0,2
81,Banana Chips,519,34.0,2.3,1.25,18.0,6,536.0,58.0,7.7,0,35.0,3
82,Honey,304,0.0,0.3,0.42,6.0,4,52.0,82.0,0.2,0,82.0,1
87,Chocolate milk,535,30.0,7.7,2.35,189.0,79,372.0,59.0,3.4,0,52.0,3
