,Food_items,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars,label
0,Asparagus Cooked,22,0.2,2.4,0.91,23.0,14,224.0,4.1,2.0,0,1.3,1
3,Bagels made in wheat,250,1.5,10.0,2.76,20.0,439,165.0,49.0,4.1,0,6.1,2
5,Brocolli,25,0.5,3.8,1.27,118.0,56,343.0,3.1,2.8,0,0.6,4
6,Brown Rice,362,2.7,7.5,1.8,33.0,4,268.0,76.0,3.4,0,0.0,1
7,Cauliflower,32,0.3,3.0,0.72,32.0,259,278.0,6.3,3.3,0,0.0,4
10,Corn,97,1.4,3.3,0.55,2.0,253,3.3,22.0,2.7,0,7.7,1
11,Dark chocolates,556,32.0,5.5,2.13,30.0,6,502.0,60.0,6.5,0,48.0,4
13,Milk,97,6.9,3.8,0.12,169.0,52,178.0,5.2,0.0,0,0.0,1
15,Onions,40,0.1,1.1,0.21,23.0,4,146.0,9.3,1.7,0,4.2,1
17,Pasta canned with tomato sauce,71,0.7,2.2,0.91,13.0,381,192.0,14.0,0.9,0,4.0,2
19,Peas,81,0.4,5.4,1.47,25.0,5,244.0,14.0,5.7,0,5.7,1
21,Pumpkin,18,0.1,0.7,0.57,15.0,237,230.0,4.3,1.1,0,2.1,4
22,Tuna Salad,187,9.3,16.0,1.0,17.0,402,178.0,9.4,0.0,0,0.0,2
23,Tuna Fish,184,6.3,30.0,1.31,10.0,50,323.0,0.0,0.0,0,0.0,4
24,Peproni Pizza,298,14.0,12.0,2.14,146.0,692,199.0,30.0,1.8,0,3.2,2
25,Cheese Pizza,276,11.0,11.0,2.47,192.0,580,170.0,33.0,2.1,0,2.5,2
26,French Fries,289,14.0,3.5,0.91,17.0,357,545.0,37.0,3.9,0,0.3,4
27,Chicken Burger,292,15.0,18.0,0.62,13.0,859,315.0,20.0,1.3,0,0.0,0
28,Cheese Burger,256,12.0,13.0,2.78,92.0,660,178.0,25.0,1.4,0,0.0,2
29,Chicken Sandwich,257,12.0,15.0,1.32,92.0,605,256.0,23.0,1.2,0,5.0,2
30,Sugar Doughnuts,426,23.0,5.2,1.06,60.0,402,102.0,51.0,1.5,0,32.0,2
31,Chocolate Doughnuts,452,25.0,4.9,4.0,24.0,326,201.0,51.0,1.9,0,27.0,2
32,Pop Corn - Caramel,381,1.4,2.0,0.8,18.0,286,110.0,90.0,2.5,0,65.0,2
33,Pop Corn,429,9.5,13.0,2.28,11.0,490,241.0,73.0,14.0,0,0.5,2
34,Dosa,168,3.7,4.5,8.0,0.7,94,76.0,29.0,0.9,0,0.1,1
35,Idli,156,1.7,5.0,17.2,4.0,207,63.0,30.2,2.1,0,0.74,1
37,Chappati,297,7.5,11.0,3.01,93.0,409,266.0,46.0,4.9,0,2.7,2
38,Tomato,16,0.2,1.2,0.47,5.0,42,212.0,3.2,0.9,0,2.63,1
39,Yogurt,60,4.0,3.1,0.08,183.0,70,234.0,7.0,0.0,1,7.0,1
41,Noodles,108,0.2,1.8,0.14,4.0,19,4.0,24.0,1.0,0,0.0,1
42,Uttapam,188,7.2,4.4,24.0,6.4,522,91.0,26.4,2.2,0,0.24,2
44,Dal Makhani,109,8.5,2.1,35.2,8.3,243,366.0,6.3,1.5,0,3.29,4
46,Mushrooms,22,0.3,3.1,0.5,3.0,5,318.0,3.3,1.0,7,2.0,4
49,Boiled Potatoes,87,0.1,1.9,0.31,5.0,240,379.0,20.0,2.0,0,0.9,4
50,White Rice,360,0.6,6.6,4.36,9.0,1,86.0,79.0,1.4,0,0.0,1
52,Greek yogurt plain,73,1.9,10.0,0.04,115.0,34,141.0,3.9,0.0,0,3.6,1
56,Cottage cheese with vegetables,95,4.2,11.0,0.1,56.0,403,86.0,3.0,0.1,0,0.4,2
57,Salmon,127,4.4,21.0,0.38,7.0,75,366.0,0.0,0.0,435,0.0,4
59,Beans,31,0.2,1.8,1.03,37.0,6,211.0,7.0,2.7,0,3.3,1
60,Lentils,101,0.5,8.8,3.1,14.0,246,284.0,21.0,0.0,0,0.0,4
61,Pasta with corn homemade,126,0.7,2.6,0.25,1.0,0,31.0,28.0,4.8,0,0.0,1
66,Goat meat,109,2.3,21.0,2.83,13.0,82,385.0,57.0,0.0,0,0.0,4
67,Rabbit meat,114,2.3,22.0,3.2,12.0,50,378.0,0.0,0.0,0,0.0,4
68,Chicken Strips,295,15.0,19.0,0.72,11.0,798,334.0,22.0,1.1,0,0.3,0
69,Steak Fries,255,13.0,3.3,0.69,19.0,43,551.0,31.0,3.5,0,0.9,4
70,Mexican Rice,195,4.9,3.6,1.18,39.0,677,131.0,34.0,1.1,0,1.4,2
71,Fried Shrimp,319,20.0,14.0,1.54,47.0,1400,128.0,21.0,1.5,0,0.8,0
72,Spaghetti and meatballs,170,8.5,7.8,1.29,45.0,351,206.0,16.0,1.5,0,2.0,2
73,Macroni n Cheese ,194,12.0,6.5,57.0,145.0,375,127.0,16.0,1.1,0,2.8,2
74,Pork cooked,297,21.0,26.0,1.29,22.0,73,362.0,0.0,0.0,0,0.0,4
75,Bacon cooked,146,2.8,28.0,0.56,7.0,993,999.0,1.8,0.0,0,1.2,3
76,Nachos,350,22.0,4.3,0.75,63.0,313,362.0,35.0,3.2,0,2.2,2
77,Chicken Popcorn,351,22.0,18.0,1.42,32.0,1140,288.0,21.0,1.0,0,0.0,0
78,Turkey cooked,203,10.0,27.0,1.52,28.0,78,294.0,0.0,0.0,8,0.0,4
79,Oyster cooked,159,4.0,29.0,4.9,6.0,81,409.0,0.0,0.0,0,0.0,4
82,Honey,304,0.0,0.3,0.42,6.0,4,52.0,82.0,0.2,0,82.0,1
83,Chocolate Icecream,216,11.0,3.8,0.93,109.0,76,249.0,28.0,1.2,0,25.0,1
84,Vanilla Ice cream,207,11.0,3.5,0.09,128.0,80,199.0,24.0,0.7,0,21.0,1
85,Strawberry Icecream,192,8.4,3.2,0.21,120.0,60,188.0,28.0,0.9,0,0.0,1
86,Marshmallows,318,0.2,1.8,0.23,3.0,80,5.0,81.0,0.1,0,58.0,1
88,Rice Pudding,376,0.1,2.7,1.79,14.0,366,5.0,91.0,0.7,0,0.0,2
